;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;accuracies;losses;AVG_loss;AVG_acc
46;0.0001;0.7;3;[64, 16, 32, 10];11.01146149635315;[0.13641667366027832, 0.25995001196861267, 0.3338833451271057, 0.4067166745662689];[2.2507998943328857, 2.135453462600708, 1.9836597442626953, 1.8028194904327393];1.6939789056777954;0.4462999999523163
47;0.0001;0.7;3;[64, 32, 16, 10];11.265215158462524;[0.15868332982063293, 0.2750999927520752, 0.37531667947769165, 0.5110333561897278];[2.263200521469116, 2.105177402496338, 1.8841333389282227, 1.622645616531372];1.484005331993103;0.5600000023841858
48;0.0001;0.8;3;[16, 32, 64, 10];9.984378099441528;[0.10843333601951599, 0.2070000022649765, 0.37111666798591614, 0.5348833203315735];[2.2763731479644775, 2.1815972328186035, 2.0082900524139404, 1.72003173828125];1.5239341259002686;0.6028000116348267
49;0.0001;0.8;3;[16, 64, 32, 10];9.009758234024048;[0.15016666054725647, 0.2072666734457016, 0.2864333391189575, 0.40584999322891235];[2.286396026611328, 2.236971139907837, 2.129230260848999, 1.9452481269836426];1.8221925497055054;0.46320000290870667
50;0.0001;0.8;3;[32, 16, 64, 10];10.089842319488525;[0.16224999725818634, 0.3246166706085205, 0.4312666654586792, 0.5819833278656006];[2.2653703689575195, 2.1356589794158936, 1.9091447591781616, 1.5531063079833984];1.3076324462890625;0.6708999872207642
51;0.0001;0.8;3;[32, 64, 16, 10];10.259848356246948;[0.2227666676044464, 0.3416000008583069, 0.46548333764076233, 0.5535666942596436];[2.2608301639556885, 2.1309974193573, 1.89840829372406, 1.5580304861068726];1.3737765550613403;0.6154999732971191
52;0.0001;0.8;3;[64, 16, 32, 10];10.546514987945557;[0.15566666424274445, 0.3449166715145111, 0.45115000009536743, 0.5181999802589417];[2.2388241291046143, 2.096917152404785, 1.8796554803848267, 1.596756100654602];1.4393255710601807;0.5629000067710876
53;0.0001;0.8;3;[64, 32, 16, 10];10.512558698654175;[0.16058333218097687, 0.3578166663646698, 0.4877333343029022, 0.5969833135604858];[2.2250592708587646, 1.9956270456314087, 1.7287753820419312, 1.4481724500656128];1.2815210819244385;0.669700026512146
54;0.0001;0.9;3;[16, 32, 64, 10];8.47585940361023;[0.2810499966144562, 0.6244000196456909, 0.7623833417892456, 0.8131499886512756];[2.134071111679077, 1.4184763431549072, 0.8745982050895691, 0.667696475982666];0.5876829028129578;0.8346999883651733
55;0.0001;0.9;3;[16, 64, 32, 10];8.879853248596191;[0.1966666728258133, 0.3739166557788849, 0.6434833407402039, 0.7142000198364258];[2.239272356033325, 1.884503722190857, 1.2652729749679565, 0.9174660444259644];0.805751383304596;0.7462000250816345
56;0.0001;0.9;3;[32, 16, 64, 10];10.083636283874512;[0.2117999941110611, 0.499916672706604, 0.6840833425521851, 0.772516667842865];[2.2026045322418213, 1.7035764455795288, 1.088779330253601, 0.7719563245773315];0.6581308245658875;0.8065000176429749
57;0.0001;0.9;3;[32, 64, 16, 10];10.15576457977295;[0.16156665980815887, 0.4031499922275543, 0.6503999829292297, 0.7924833297729492];[2.2256226539611816, 1.8486579656600952, 1.304810643196106, 0.8456479907035828];0.6953627467155457;0.8159999847412109
58;0.0001;0.9;3;[64, 16, 32, 10];10.36670994758606;[0.3120666742324829, 0.4935166537761688, 0.7098666429519653, 0.8034999966621399];[2.16216778755188, 1.6489588022232056, 1.04441499710083, 0.7085376977920532];0.5925136208534241;0.8353999853134155
59;0.0001;0.9;3;[64, 32, 16, 10];10.523766040802002;[0.19928333163261414, 0.3976166546344757, 0.6236166954040527, 0.7717999815940857];[2.2167646884918213, 1.8487502336502075, 1.2599711418151855, 0.8310618996620178];0.6886857748031616;0.8008000254631042
60;0.001;0.0;3;[16, 32, 64, 10];10.557079076766968;[0.2361166626214981, 0.3747499883174896, 0.557533323764801, 0.7020333409309387];[2.239077091217041, 1.9710710048675537, 1.411341905593872, 0.9667108058929443];0.8283446431159973;0.7462000250816345
61;0.001;0.0;3;[16, 64, 32, 10];9.260039567947388;[0.2406499981880188, 0.5139666795730591, 0.7135833501815796, 0.809416651725769];[2.2060513496398926, 1.7090548276901245, 1.0478696823120117, 0.6992363929748535];0.5970969200134277;0.8345999717712402
62;0.001;0.0;3;[32, 16, 64, 10];8.895875453948975;[0.1976500004529953, 0.43051666021347046, 0.6564666628837585, 0.753849983215332];[2.2399256229400635, 1.8341341018676758, 1.2199945449829102, 0.8790039420127869];0.7544389367103577;0.7883999943733215
63;0.001;0.0;3;[32, 64, 16, 10];9.506608963012695;[0.203533336520195, 0.5405333042144775, 0.7244666814804077, 0.7968999743461609];[2.194749116897583, 1.7362432479858398, 1.1160894632339478, 0.7583553791046143];0.6418235301971436;0.8281000256538391
64;0.001;0.0;3;[64, 16, 32, 10];10.795902967453003;[0.20586666464805603, 0.5415666699409485, 0.7456833124160767, 0.810699999332428];[2.1771392822265625, 1.652274489402771, 0.9938294291496277, 0.68522047996521];0.5815533399581909;0.8331000208854675
65;0.001;0.0;3;[64, 32, 16, 10];11.301480531692505;[0.3033333420753479, 0.4832499921321869, 0.6958000063896179, 0.7921833395957947];[2.1477832794189453, 1.6370584964752197, 1.042298674583435, 0.7262118458747864];0.6173765063285828;0.8256000280380249
66;0.001;0.1;3;[16, 32, 64, 10];10.209672451019287;[0.20696666836738586, 0.3674333393573761, 0.6170666813850403, 0.738016664981842];[2.2258901596069336, 1.8896019458770752, 1.3230992555618286, 0.9317583441734314];0.7801194787025452;0.7775999903678894
67;0.001;0.1;3;[16, 64, 32, 10];8.66348671913147;[0.19991666078567505, 0.5090833306312561, 0.7277500033378601, 0.80076664686203];[2.1889376640319824, 1.6784857511520386, 1.0075032711029053, 0.6850214600563049];0.5856439471244812;0.8299999833106995
68;0.001;0.1;3;[32, 16, 64, 10];9.378922462463379;[0.27906665205955505, 0.5114833116531372, 0.7145666480064392, 0.7906500101089478];[2.184741497039795, 1.6445133686065674, 0.9834828972816467, 0.7113004326820374];0.6195072531700134;0.8206999897956848
69;0.001;0.1;3;[32, 64, 16, 10];11.126335620880127;[0.27113333344459534, 0.5596166849136353, 0.7406166791915894, 0.814216673374176];[2.120898485183716, 1.4596357345581055, 0.9038227796554565, 0.6555125117301941];0.5546004772186279;0.8440999984741211
70;0.001;0.1;3;[64, 16, 32, 10];11.845991849899292;[0.27913331985473633, 0.6013333201408386, 0.7552666664123535, 0.8174333572387695];[2.079038143157959, 1.3976713418960571, 0.863994836807251, 0.636946439743042];0.552262008190155;0.8453999757766724
71;0.001;0.1;3;[64, 32, 16, 10];11.837716817855835;[0.40398332476615906, 0.692966639995575, 0.8019333481788635, 0.8427000045776367];[1.9526033401489258, 1.1433939933776855, 0.7285575270652771, 0.5696850419044495];0.4994972050189972;0.8654999732971191
72;0.001;0.2;3;[16, 32, 64, 10];9.268977880477905;[0.2755500078201294, 0.5814333558082581, 0.7729499936103821, 0.8287166953086853];[2.219867467880249, 1.676881194114685, 0.9158081412315369, 0.6186132431030273];0.5387588739395142;0.8500000238418579
73;0.001;0.2;3;[16, 64, 32, 10];9.70315170288086;[0.17123332619667053, 0.48253333568573, 0.6944166421890259, 0.7604333162307739];[2.235464096069336, 1.7883344888687134, 1.09452486038208, 0.7717779278755188];0.6564612984657288;0.8008999824523926
74;0.001;0.2;3;[32, 16, 64, 10];9.965481042861938;[0.3440000116825104, 0.6379166841506958, 0.7869666814804077, 0.8371999859809875];[2.131349802017212, 1.3871591091156006, 0.7740848660469055, 0.5681912302970886];0.5025655031204224;0.8560000061988831
