;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
55;0.001;0.1;3;[64, 16, 16, 10];22.792627573013306;[0.19758333265781403, 0.42286667227745056, 0.6441166400909424, 0.7898833155632019];[2.205176830291748, 1.7883965969085693, 1.2035751342773438, 0.7904732823371887];0.6470026969909668;0.8216000199317932;0.9707000255584717
56;0.1;0.2;3;[64, 16, 16, 10];22.461547374725342;[0.8970500230789185, 0.9558333158493042, 0.9666333198547363, 0.9714999794960022];[0.3310534358024597, 0.14477413892745972, 0.1091841533780098, 0.09116483479738235];0.12238648533821106;0.965399980545044;0.9707000255584717
57;0.01;0.8;3;[16, 32, 16, 10];16.690078020095825;[0.8352333307266235, 0.9287499785423279, 0.9436833262443542, 0.9490000009536743];[0.5292562246322632, 0.23732027411460876, 0.18899159133434296, 0.16751638054847717];0.1791255623102188;0.946399986743927;0.9707000255584717
58;1.0;0.1;3;[64, 16, 64, 10];22.233703136444092;[0.24861666560173035, 0.10215000063180923, 0.10409999638795853, 0.10450000315904617];[5.285382270812988, 2.310033082962036, 2.309828758239746, 2.3095219135284424];2.306966543197632;0.10279999673366547;0.9707000255584717
59;1.0;0.5;3;[64, 32, 32, 10];23.27395462989807;[0.10333333164453506, 0.10328333079814911, 0.10320000350475311, 0.10508333146572113];[2.315650701522827, 2.3158726692199707, 2.3159596920013428, 2.3157849311828613];2.306500196456909;0.09799999743700027;0.9707000255584717
60;1.0;0.4;3;[32, 64, 16, 10];20.61318874359131;[0.1040833368897438, 0.10206666588783264, 0.10270000249147415, 0.10093333572149277];[2.314232349395752, 2.313416004180908, 2.3136749267578125, 2.3139214515686035];2.3172948360443115;0.10100000351667404;0.9707000255584717
61;0.001;0.5;3;[16, 64, 64, 10];17.317381143569946;[0.35588333010673523, 0.7641000151634216, 0.8442999720573425, 0.8713833093643188];[2.022477626800537, 0.8768724799156189, 0.5329327583312988, 0.43764442205429077];0.39564353227615356;0.8817999958992004;0.9707000255584717
62;0.001;0.7;3;[16, 16, 16, 10];16.703445434570312;[0.4979499876499176, 0.8141833543777466, 0.8726999759674072, 0.8926166892051697];[1.6001687049865723, 0.6431384682655334, 0.4352971017360687, 0.37181639671325684];0.34157276153564453;0.899399995803833;0.9707000255584717
63;1.0;0.6;3;[16, 32, 64, 10];16.991682291030884;[0.10365000367164612, 0.1028333306312561, 0.09965000301599503, 0.10041666775941849];[2.3188207149505615, 2.3190455436706543, 2.3200786113739014, 2.3200509548187256];2.3228955268859863;0.0982000008225441;0.9707000255584717
64;0.01;0.3;3;[32, 16, 16, 10];20.104845762252808;[0.7819833159446716, 0.912766695022583, 0.9324166774749756, 0.9435666799545288];[0.7465651035308838, 0.2973999083042145, 0.23164157569408417, 0.1932482123374939];0.17652039229869843;0.9484999775886536;0.9707000255584717
65;0.0001;0.0;3;[32, 32, 64, 10];19.965046167373657;[0.10920000076293945, 0.11858333647251129, 0.13526666164398193, 0.15970000624656677];[2.308871030807495, 2.2856123447418213, 2.2680232524871826, 2.2509753704071045];2.2381887435913086;0.1785999983549118;0.9707000255584717
